part_id,lot_id,parameter,value_0h,value_24h,value_96h,value_168h,datasheet_limit,ground_truth_defective
P_001_000,LOT_001,leakage_current,11.122966013642603,12.323238203118082,12.732444879597148,12.801452168571064,50,False
P_001_001,LOT_001,leakage_current,13.064530753827793,14.790883788772584,15.720370082678652,15.822480812980972,50,False
P_001_002,LOT_001,leakage_current,10.138940976629463,10.147685326637086,10.364543186051174,10.633173087156543,50,False
P_001_003,LOT_001,leakage_current,7.903246887719551,8.071456537194468,8.414474477955043,8.533054643043043,50,False
P_001_004,LOT_001,leakage_current,8.678381297716511,10.10989302947054,10.175414192432566,10.289169600878653,50,False
P_001_005,LOT_001,leakage_current,9.288075269551557,11.07524278635576,11.986398681586115,12.160340463796325,50,False
P_001_006,LOT_001,leakage_current,11.453803503513173,12.612422041558853,13.264087286317286,13.496303175519717,50,False
P_001_007,LOT_001,leakage_current,9.147446115994116,10.409583090140114,11.917703149386979,12.047523406858888,50,False
P_001_008,LOT_001,leakage_current,11.34311205544783,12.905444584488198,13.892849879250365,13.916620069771385,50,False
P_001_009,LOT_001,leakage_current,6.948146996650903,8.608502570194123,9.537213748170974,9.892236736713059,50,False
P_001_010,LOT_001,leakage_current,9.92830696184886,11.38091437810851,12.809361155193432,13.156013312700171,50,False
P_001_011,LOT_001,leakage_current,9.404398900962148,12.055674437155213,13.365098259433257,13.420008541063904,50,False
P_001_012,LOT_001,leakage_current,9.554040815062056,9.769941396227562,9.90073336015908,10.092252626355728,50,False
P_001_013,LOT_001,leakage_current,11.054320037060865,12.804921157903488,13.726078910969447,14.184515430938845,50,False
P_001_014,LOT_001,leakage_current,8.517472181618864,9.224098840697861,10.259287544359317,10.314258642613707,50,False
P_001_015,LOT_001,leakage_current,9.72715276487484,10.898259580756944,11.13149218831634,11.608656069881347,50,False
P_001_016,LOT_001,leakage_current,9.52390201955802,9.638656798499834,9.852592996250822,10.07294432017753,50,False
P_001_017,LOT_001,leakage_current,10.081988226925828,12.638548045826688,13.839202282133554,14.333462463777794,50,False
P_001_018,LOT_001,leakage_current,11.379526456221418,12.157406450657065,12.189779202868415,12.658460292525817,50,False
P_001_019,LOT_001,leakage_current,12.634282448050422,14.693845138200505,15.965771194482711,16.374824528598342,50,False
P_001_020,LOT_001,leakage_current,13.415038776504952,14.922504508200138,15.8618519020191,16.031598473621095,50,False
P_001_021,LOT_001,leakage_current,8.004500873065146,10.051585284418183,11.024897019550446,11.451785899630933,50,False
P_001_022,LOT_001,leakage_current,12.662874857268433,15.186185140423628,16.79390119903522,17.488296011214565,50,False
P_001_023,LOT_001,leakage_current,12.722321797631205,13.466037587676976,13.730727506914413,13.896938619869127,50,False
P_001_024,LOT_001,leakage_current,10.115359639043497,10.513956201090707,10.744116080354415,10.939015715353134,50,False
P_001_025,LOT_001,leakage_current,12.091164290487542,13.634759427413766,13.973782870435414,14.179863817508105,50,False
P_001_026,LOT_001,leakage_current,11.999223490519118,12.834343412866838,13.232988857096379,13.529995934623924,50,False
P_001_027,LOT_001,leakage_current,11.03715619591779,11.9771594108377,12.302899805248066,12.532751162326361,50,False
P_001_028,LOT_001,leakage_current,10.777116505533408,11.704743103200498,12.705787605113322,13.03779967931557,50,False
P_001_029,LOT_001,leakage_current,10.462823673430645,10.920600772259053,10.974931872553078,11.210404575534573,50,False
P_001_030,LOT_001,leakage_current,10.187974908961657,10.700515776041566,11.155122968161086,11.181038370428757,50,False
